249,"INSTRUMENTACION ELECTRONICA MODERNA Y TECNICAS DE",Cooper,Helfrick
251,"INSTALACIONES ELECTRICAS DE BAJA TENSION","Narciso Moreno Alfonso.","Ramon Cano Gonzalez."
252,"GEOMETRIA ANALITICA",Kindle,
253,"INGENIERIA DEL SOFTWARE - UN ENFOQUE PRACTICO",Pressman,
254,"MATEMATICAS ESPECIALES PARA COMPUTACION","Jose L. Garc?a V.",
255,"ESTRUCTURA DE LA INFORMACION: ORGAN. DE FICHEROS","Mu?oz L?pez",
256,"ESTRUCTURA DE LA INFORMACION: ORGAN. DE FICHEROS","Mu?oz L?pez",
257,"SISTEMAS DIGITALES - PRINCIPIOS Y APLICACIONES","Ronald Tocci",
258,"CIRCUITOS ELECTRICOS                                                                                ","Edminister                                                                                          ","                                                                                                    "
259,"CIRCUITOS ELECTRICOS                                                                                ","Joseph Edminister                                                                                   ","                                                                                                    "
260,"ANALISIS VECTORIAL                                                                                  ","Murray Spiegel                                                                                      ","                                                                                                    "
261,"TRANSFORMADAS DE LAPLACE                                                                            ","Murray Spiegel                                                                                      ","                                                                                                    "
262,"ANALISIS DE CIRCUITOS EN INGENIERIA",Hayt,Kemmerly
263,"ANALISIS DE CIRCUITOS EN INGENIERIA                                                                 ","Hayt                                                                                                ","Kemmerly                                                                                            "
264,"ANALISIS INTRODUCTORIO DE CIRCUITOS                                                                 ","Robert Boylestad                                                                                    ","                                                                                                    "
265,"INVESTIGACION DE OPERACIONES: INTERPRETACION DE MO                                                  ","NAGHI, MOHAMMAD                                                                                     ","                                                                                                    "
266,"COMO PROGRAMAR EN JAVA","Harvey M. Dietel","Paul J. Deitel"
267,"SISTEMA INFORM?TICO GANADERO (SIG)","Ismenia Mar?a P?rez G?mez",
268,SOCIOLOGIA,Fichter,
269,"TEORIA DE CONJUNTOS Y TEMAS AFINES",Lipschutz,
270,"ANALISIS MODERNO DE SISTEMAS ELECTRICOS DE POTENCI","Enriquez Harper, Gilberto",
271,"PROBABILIDAD Y APLICACIONES ESTADISTICAS",Meyer,
272,"BASIC ESTRUCTURADO","Chris Siragusa",
273,"Introduccion al algebra lineal","Howard Anton",
274,"ECONOMIA POLITICA",Bautista,Paoli
275,"PRINCIPIOS DE ELECTRONICA","Albert Paul Malvino",
276,"PRINCIPIOS DE ELECTRONICA                                                                           ","Albert Paul Malvino                                                                                 ","                                                                                                    "
277,"MECANICA DE LOS FLUIDOS","V. Streeter","B. Wylie"
278,"ELECTRONICA DIGITAL","Cuesta, Gil Padilla",Remiro
279,"TEORIA DE LA PROBABILIDAD","Ivan Obregon Sanin",
280,"CURSO DE SERVICIOS HOTELEROS - TECNICAS Y ORGANIZA                                                  ","Cerra, Javier                                                                                       ","                                                                                                    "
281,"ELEMENTOS DE RESISTENCIA DE MATERIALES                                                              ","Timosheko                                                                                           ","Young                                                                                               "
282,"RESISTENCIA DE MATERIALES","Luis Ort?z Berrocal",
283,"OPERACIONES DE TRANSFERENCIA DE MASA 2/e","Robert E. Treybal",
284,"GEOMETRIA ANALITICA: PLANA Y DEL ESPACIO","KINDLE, JOSEPH H.",
285,"Introduccion al algebra lineal","Howard Anton",
286,"SISTEMA INFORM?TICO GANADERO (SIG)","Ismenia Mar?a P?rez G?mez",
287,ECONOMIA,LARROULET,MOCHON
288,"FUNDAMENTOS DE INSTALACIONES ELECTRICAS DE MEDIANA","HARPER, GILBERTO ENRIQUEZ",
289,"Fisica Universitaria",Sears,Zemansky
290,"FUNDAMENTOS DE LOS MICROPROCESADORES",TOKHEIM,
291,"ALGEBRA ELEMENTAL MODERNA VOL. II","GONZALEZ, M.O.","MANCILL, J.D."
292,"FUNDAMENTOS DA TERMODINAMICA CLASSICA                                                               ","Van Wylen, Gordon                                                                                   ","Borgnakke, Claus                                                                                    "
293,Estad?stica,Spiegel,
294,"QUIMICA - CURSO UNIVERSITARIO","Bruce Mahan","Rollie Myers"
295,"ALGEBRA LINEAL",Fraleigh,Beauregard
296,"FISICA 2                                                                                            ","Halliday                                                                                            ","Resnick                                                                                             "
297,"INVESTIGACION DE OPERACIONES: INTERPRETACION DE MO","NAGHI, MOHAMMAD",
298,"CONTROL DE UN SISTEMA DOM?TICO Y SUPERVISI?N DE CONSUMO ENERG?TICO MEDIANTE SERVIDOR Y APLICACI?N ANDROID","Cristhian David Ben?tez Esp?nola.","Cristian Eduardo Olmedo Avalos"
299,"ARQUITECTURA DE COMPUTADORES","ANASAGASTI, PEDRO DE MIGUEL","ANGULO USATEGUI, JOSE MARIA"
300,"EL CALCULO CON GEOMETRIA ANALITICA","Leithold. Louis",
301,"EL LENGUAJE DE PROGRAMACION C","Brian W. Kernighan",
302,"SISTEMA INFORM?TICO GANADERO (SIG)","Ismenia Mar?a P?rez G?mez",
303,"CONTABILIDAD BASICA","Paulino Aguayo Caballero",
304,"MATEMATICAS PARA COMPUTACION",Lipschutz,
305,"GEOMETRIA ANALITICA: PLANA Y DEL ESPACIO","kINDLE, JOSEPH H.",
306,FISICA,Giancoli,
307,"ECUACIONES DIFERENCIALES",Boyce,Diprima
308,"QUIMICA GENERAL","Ru?z, Pozas","L?pez, Gonz?lez"
309,"PROBABILIDAD Y ESTADISTICA APLICADAS A LA INGENIER",Montgomery,Runger
310,"FISICA **",Tippler,
311,"TEORIA DE CONJUNTOS Y TEMAS AFINES","SEYMOUR - LIPSCHUTZ",
312,"FUNDAMENTOS DE FISICA","BLATT, FRANK J.",
313,"CALCULO CON GEOMETRIA ANALITICA",Protter,Morrey
314,"METODOS NUMERICOS CON MATLAB",Mathews,Fink
315,"PROBABILIDAD Y ESTADISTICA",SPIEGEL,
316,"FISICA 2",Halliday,Resnick
317,"FISICA 1",Resnick,"Halliday, Krane"
318,"QUIMICA - PRINCIPIOS Y APLICACIONES","Michell Sienko","Robert Plane"
319,"QUIMICA - CURSO UNIVERSITARIO","Bruce Mahan","Rollie Myers"
320,"FISICA **",Tippler,
321,"FISICA 1","Resnick, Halliday",Krane
322,"FISICA                                                                                              ","Giancoli                                                                                            ","                                                                                                    "
323,"A.P.O. MANUAL DO LIDER                                                                              ","Giegold                                                                                             ","                                                                                                    "
324,"ADMINISTRACION - UNA PERSPECTIVA GLOBAL",Koontz,Weihrich
325,"PRINCIPIOS DE ADMINISTRACION",Terry,Franklin
326,"PRINCIPIOS DE ADMINISTRACION",Terry,Franklin
327,"CONTABILIDAD DE COSTOS - SOLUCIONES DE PROBLEMAS",Neuner,Deakin
328,"CONTABILIDAD DE COSTOS - SOLUCIONES DE PROBLEMAS",Neuner,Deakin
329,"CONTABILIDAD DE COSTOS - PRINCIPIOS Y PRACTICA",Neuner,Deakin
330,"CONTABILIDAD DE COSTOS - PRINCIPIOS Y PRACTICA",Neuner,Deakin
331,"TRATADO DE CONTABILIDAD ELEMENTAL",Zelaya,
332,"FUNDAMENTOS DE LA TEORIA ELECTROMAGNETICA                                                           ","Reitz; Milford                                                                                      ","Christy                                                                                             "
333,"INTRODUCCION A LOS SISTEMAS OPERATIVOS                                                              ","Alcalde                                                                                             ","Morera y Otros                                                                                      "
334,"HABLEMOS INGLES","ROMEISER - BRUNO",RICE
335,"CIRCUITOS ELECTRICOS","Mohmood Nahvi","Joseph A. Edminister"
336,"CODIGO LABORAL DE LA REPUBLICA DEL PARAGUAY","PLANO DE EGEA, JOSE",
