"102","MANUAL DE ENGENHARIA ELETRICA","Siemens",,
"103","MANUAL DE ENGENHARIA ELETRICA","Siemens",,
"104","MANUAL DE ENGENHARIA ELETRICA","Siemens",,
"105","INSTALACOES ELETRICAS","Siemens",,
"106","INSTALACOES ELETRICAS","SAIEMENS",,
"107","INSTALACOES ELETRICAS","Siemens",,
"108","INSTALACOES ELETRICAS","Siemens",,
"109","INSTALACOES ELETRICAS PREDIAIS","Alfonso Martignoni",,
"110","ELECTROTECNIA","Pablo Alcalde S. Miguel",,
"111","REPUBLICA BOLIVARIANA DE VENEZUELA - CUADERNO DE L","EMBAJADA DE VENEZUELA",,"2"
"112","Fisica Universitaria","Sears","Zemansky","6"
"113","INSTALACAO ELECTRICAS","Ademaro A. M.","B. Cotrim","2? Edici?n"
"114","ORIGENES DE LA GUERRA DE LA TRIPLE ALIANZA","Horton",,"1"
"115","RESISTENCIA DE MATERIALES","Berrocal, Luis O.",,"1"
"116","HISTORIA DE LA ESTUPIDEZ HUMANA","Paul Tabori",,
"117","B.B.I. dBASE II Y dBASE III","INGELEK",,"1"
"118","B.B.I. COMO ELEGIR UN ORDENADOR","INGELEK",,"1"
"119","B.B.I. INTELIGENCIA ARTIFICIAL Y SISTEMAS EXPERTOS","INGELEK",,"1"
"120","B.B.I. CUIDADOS DEL ORDENADOR","INGELEK",,"1"
"121","B.B.I. PROGRAMANDO COMO ES DEBIDO. N? 9","INGELEK",,"1"
"122","Estrategias para Especificacao de Sistema em Tempo Real","Hatley","Pirbhai","1"
"123","B.B.I. BANCO DE DATOS II. N? 22","INGELEK",,"1"
"124","Ejercitario de Algoritmica","Lic. Britez, Victor A.",,"1"
"125","EL MICROPROCESADOR Y SUS APLICACIONES","Aspinall",,"1"
"126","ANALISIS Y DISE?O ORIENTADO A OBJETOS","Martin","Odell","1"
"127","TEORIA DE CONJUNTOS Y TEMAS AFINES","LIPSCHUTZ",,"1"
"128","MATEMATICAS PARA COMPUTACION","Lipschutz",,"1"
"129","ALGEBRA LINEAL","de Burgos, Juan",,"1"
"130","1001 TRUCOS PARA DOS Y PC, Y 114 TRUCOS MAS DE DOS                                                  ","Jamsa                                                                                               ","                                                                                                    ","1"
"131","50 IDEAS CONCRETAS PARA MEJORAR SU EMPRESA                                                          ","Sanguinetti                                                                                         ","                                                                                                    ","1"
"132","SOFTWARE Y HARDWARE DE SU PC","Carballar",,"1"
"133","INTRODUCCION A LA INGENIERIA DE LA FIBRA OPTICA                                                     ","Mart?nez                                                                                            ","                                                                                                    ","1"
"134","PASCAL Y ESTRUCTURA DE DATOS                                                                        ","Dale                                                                                                ","Lilly                                                                                               ","2"
"135","REINGENIERIA DE PROCESOS","de Oliveira",,"1"
"136","PROBLEMAS RESUELTOS DE TEORIA DE CIRCUITOS","A. gomez Exp?sito","J. A. Oliveira Ortiz de Urbina","2? edici?n"
"137","SISTEMAS POLIFASICOS","Baldomero Gonz?lez Sanchez",,
"138","USINAS HIDRELECTRICAS","Gerhard P. Schreiber",,
"139","INTRODUCCION A LA SOCIOLOGIA GENERAL","Guy Rocher",,"1"
"140","TURISMO E MEIO AMBIENTE NO BRASIL","Zysman Neiman","Andr?a Rabinovici",
"141","NUEVAS TECNOLOGIAS APLICADAS A LA EDUCACION","Julio Cabero Almenara",,"1"
"143","HISTORIA PARAGUAYA","ACADEMIA PARAGUAYA",,"1"
"144","CLIPPER VERSION 5.0","Garcia","Badell","1"
"145","ARITMETICA - TEORICO PRACTICA","Baldor",,"1"
"146","HABLEMOS INGLES","ROMEISER - BRUNO","RICE","1"
"147","TELECOMUNICACIONES PARA PC","Dourak","Anis","1"
"148","SISTEMAS OPERATIVOS - CONCEPTOS FUNDAMENTALES","Silberschatz, Peterson","Galvin","1"
"149","HOW SOFTWARE WORKS","White",,"1"
"150","MICROPROCESADORES 8080 E 8085 HARDWARE","Franceschini",,"1"
"151","ALGEBRA LINEAL","Jesus Rojo",,"2"
"152","MATEMATICAS APLICADAS PARA ADMINISTRACION, ECONOMI","Budnick",,"1"
"153","TEORIA DE LA SOCIEDAD Y PEDAGOGIA","Luhmann",,"1"
"154","SISTEMAS DE CONTROL EN TIEMPO DISCRETO                                                              ","OGATA, KATSUHIKO                                                                                    ","                                                                                                    ","2"
"155","INTRODUCCION A LOS SISTEMAS OPERATIVOS","E.Alcalde","J. Morera","1"
"156","FISICA *","Tipler",,"3"
"157","ROBOTICS: CONTROL, VISION AND INTELLIGENCE","Fu, Gonz?lez","Lee","1"
"158","FUNDAMENTOS DE PROGRAMACION","Joyanes Aguilar",,"1"
"159","MECANICA DE LOS FLUIDOS","Merle C. Potter","David C Wiggert","Segunda Edicion"
"160","CALCULO DIFERENCIAL E INTEGRAL","Ayres","Meldelson","3"
"161","Comunicacao de Dados","Alves",,"1"
"162","FISICA *","Tippler",,"3"
"163","FISICA PARA ESTUDIANTES DE CIENCIAS E INGENIERIA","Frederick J. Bueche",,"1"
"164","INGENIERIA DEL SOFTWARE UN ENFOQUE PRACTICO","Pressman",,"3"
"165","FISICA CONCEPTOS Y APLICACIONES","Tippens, Paul",,"6"
"166","FUNDAMENTOS DE PROGRAMACION","Joyanes Aguilar",,"1"
"167","FUNDAMENTOS DE PROGRAMACION","Joyanes Aguilar",,"1"
"168","MS - DOS. VERSION 5.0","Hyunday Electronics",,"1"
"169","MS - DOS. VERSION 5.0","Hyunday Electronics",,"1"
"170","INFORMATICA E O HOMEN - INFORMATICA SUCESU 89","Lazzarini",,"1"
"171","WINDOWS MICROSOFT VERSION 3.1","Microsoft Corporation",,"1"
"172","FISICA","Raymond A. Serway.","Jerry S. Faughn","1"
"173","CALCULO CON GEOMETRIA ANALITICA","Purcell","Varberg","1"
"174","CALCULO CON GEOMETRIA ANALITICA","PROTTER","MORREY","3"
"175","FISICA 1","Halliday - Resnick","Krane","4"
"184","EL LIBRO DEL LOTUS 1-2-3","Alan Simpson",,"3"
"185","IBM PC AT - GUIA DE PROGRAMACAO                                                                     ","James T. Smith                                                                                      ","                                                                                                    ","1"
"186","MATEMATICAS AVANZADAS PARA INGENIERIA","Kreyszing",,"1"
"187","LINEAS DE TRANSPORTE DE ENERGIA","CHECA, LUIS MARIA",,"3"
"188","LOS HOMBRES DE CELINA","Halley Mora",,"1"
"189","INTRODUCCION A LA INVESTIGACION DE OPERACIONES","Hillier","Liebermann","1"
"190","ANALISIS NUMERICO","Richard L. Burden","J. Douglas Faires","7"
"191","MATEMATICAS PARA COMPUTACION","Lipschutz",,"1"
"192","PROTECCION DE INSTALACIONES ELECTRICAS INDUSTRIALE","HARPER",,"2"
"193","METODOLOGIA DE LA PROGRAMACION","M. Angel Rodr?guez",,"1"
"194","RESISTENCIA DE MATERIALES","Ort?z Berrocal, Luis",,"2"
"195","CALCULO DIFERENCIAL E INTEGRAL","Larson","Hostetler","7"
"196","CALCULO CON GEOMETRIA ANALITICA","Larson","Hostetler","1"
"197","ESTADISTICA","Spiegel",,"1"
"198","FISICA GENERAL","Frederick J. Bueche",,"1"
"199","FISICA - VOLUMEN 1","Resnick","Halliday - Krane","4"
"200","ENGLISH COMPUTER SCIENCE","Norma Mullen","Charles Brown","1"
"201","ENGLISH COMPUTER SCIENCE","Norma Mullen","Charles Brown","1"
"202","ENGLISH COMPUTER SCIENCE","Norma Muller","Charles Brown","1"
"203","ENGLISH COMPUTER SCIENCE","Norma Muller","Charles Brown","1"
"204","AN EASY GAME CALLED ENGLISH","Lafayatte Megale","Terezinha Fern?ndez","1"
"205","AN EASY GAME CALLED ENGLISH","Lafayatte Megale","Terezinha Fern?ndez","1"
"206","AN EASY GAME CALLED ENGLISH","Lafayatte Megale","Terezinha Fern?ndez","1"
"207","INTRODUCCION A LA LOGICA MATEMATICA","Patrik Suppes","Shirley Hill","1"
"208","COMPUTER DICTIONARY","Microsoft",,"1"
"209","PROBABILIDAD Y APLICACIONES ESTADISTICAS","Meyer",,"1"
"210","FUNDAMENTOS DE PROGRAMACION","Joyanes Aguilar",,"1"
"211","PROGRAMACION EN C","Gottfried","1","1"
"212","FISICA *","Tippler",,"3"
"213","Fisica Universitaria","Sears","Zemansky","6"
"214","GEOMETRIA ANALITICA","Kindle",,"1"
"215","MATEMATICAS ESPECIALES PARA COMPUTACION","Jose L. Garc?a Valle",,"1"
"216","INSTRUMENTACION ELECTRONICA MODERNA Y TECNICAS DE","HELFRICK, ALBERT D.","COOPER, WILLIAM D.","1"
"217","INSTRUMENTACION ELECTRONICA MODERNA Y TECNICAS DE","HELFRICK, ALBERT D.","COOPER, WILLIAM D.","1"
"218","FISICA *","Tipler",,"1"
"219","APRENDER A APRENDER, TECNICAS DE ESTUDIOS",,,
"220","ESTADISTICA","Spiegel",,"2"
"221","C.C.A.A. NO 2? GRAU","Dpto. de Pesquisa e Planejamen",,"1"
"222","TECNICAS DE BASES DE DATOS - ESTRUCTURACION EN DIS","Shakuntala Atre",,"1"
"223","METODOLOGIA DE LA PROGRAMACION","Rodriguez",,"1"
"224","ECONOMIA","Samuelson","Nordhaus","1"
"225","MATEMATICAS AVANZADAS PARA INGENIERIA 1","Kreyszing",,"5"
"226","MATEMATICAS AVANZADAS PARA INGENIERIA 1","KREYSZIG, ERWIN",,"6"
"227","GEOMETRIA ANALITICA","Fuller","Tarwater","1"
"228","CURSO DE WINDOWS 3.0 BASICO                                                                         ","MasterChip Corporation                                                                              ","                                                                                                    ","1"
"229","MATEMATICAS ESPECIALES PARA COMPUTACION                                                             ","Jose L. Garc?a V.                                                                                   ","                                                                                                    ","1"
"230","MATEMATICAS ESPECIALES PARA COMPUTACION","Jose L. Garc?a V.",,"1"
"231","MATEMATICAS PARA COMPUTACION","Seymour Lipschutz",,"1"
"232","MATEMATICAS PARA COMPUTACION","Seymour Lipschutz",,"1"
"233","MATEMATICAS PARA COMPUTACION","Seymour Lipschutz",,"1"
"234","MATEMATICAS PARA COMPUTACION","Seymour Lipschutz",,"1"
"235","INTRODUCCION A LOS SISTEMAS OPERATIVOS","Alcalde, Pascual","Perez, Campanero","1"
